Created as New Dataset,Sample 001 By IIST Date Wednesday, June 23 2021
cm-1,%T
3031.00,97.02
3030.00,97.04
3029.00,97.05
3028.00,97.07
3027.00,97.08
3026.00,97.09
3025.00,97.10
3024.00,97.10
3023.00,97.11
3022.00,97.13
3021.00,97.15
3020.00,97.16
3019.00,97.17
3018.00,97.17
3017.00,97.17
3016.00,97.18
3015.00,97.18
3014.00,97.19
3013.00,97.21
3012.00,97.22
3011.00,97.24
3010.00,97.26
3009.00,97.27
3008.00,97.28
3007.00,97.28
3006.00,97.28
3005.00,97.27
3004.00,97.27
3003.00,97.27
3002.00,97.28
3001.00,97.28
3000.00,97.29
2999.00,97.30
2998.00,97.32
2997.00,97.35
2996.00,97.37
2995.00,97.38
2994.00,97.39
2993.00,97.40
2992.00,97.41
2991.00,97.41
2990.00,97.41
2989.00,97.40
2988.00,97.40
2987.00,97.40
2986.00,97.41
2985.00,97.42
2984.00,97.43
2983.00,97.43
2982.00,97.44
2981.00,97.44
2980.00,97.44
2979.00,97.43
2978.00,97.43
2977.00,97.43
2976.00,97.43
2975.00,97.43
2974.00,97.43
2973.00,97.44
2972.00,97.44
2971.00,97.43
2970.00,97.42
2969.00,97.42
2968.00,97.42
2967.00,97.42
2966.00,97.43
2965.00,97.44
2964.00,97.44
2963.00,97.45
2962.00,97.45
2961.00,97.46
2960.00,97.48
2959.00,97.49
2958.00,97.51
2957.00,97.53
2956.00,97.54
2955.00,97.56
2954.00,97.59
2953.00,97.61
2952.00,97.64
2951.00,97.66
2950.00,97.69
2949.00,97.72
2948.00,97.75
2947.00,97.76
2946.00,97.77
2945.00,97.77
2944.00,97.77
2943.00,97.77
2942.00,97.76
2941.00,97.77
2940.00,97.78
2939.00,97.80
2938.00,97.83
2937.00,97.85
2936.00,97.86
2935.00,97.88
2934.00,97.90
2933.00,97.92
2932.00,97.94
2931.00,97.95
2930.00,97.97
2929.00,97.98
2928.00,98.00
2927.00,98.02
2926.00,98.04
2925.00,98.06
2924.00,98.07
2923.00,98.08
2922.00,98.10
2921.00,98.13
2920.00,98.15
2919.00,98.17
2918.00,98.18
2917.00,98.18
2916.00,98.19
2915.00,98.20
2914.00,98.22
2913.00,98.24
2912.00,98.25
2911.00,98.27
2910.00,98.29
2909.00,98.30
2908.00,98.31
2907.00,98.33
2906.00,98.34
2905.00,98.37
2904.00,98.39
2903.00,98.41
2902.00,98.42
2901.00,98.43
2900.00,98.43
2899.00,98.44
2898.00,98.46
2897.00,98.49
2896.00,98.51
2895.00,98.53
2894.00,98.54
2893.00,98.55
2892.00,98.57
2891.00,98.59
2890.00,98.61
2889.00,98.62
2888.00,98.63
2887.00,98.65
2886.00,98.66
2885.00,98.68
2884.00,98.70
2883.00,98.71
2882.00,98.72
2881.00,98.73
2880.00,98.74
2879.00,98.76
2878.00,98.77
2877.00,98.78
2876.00,98.80
2875.00,98.81
2874.00,98.83
2873.00,98.84
2872.00,98.86
2871.00,98.88
2870.00,98.89
2869.00,98.90
2868.00,98.90
2867.00,98.91
2866.00,98.92
2865.00,98.93
2864.00,98.95
2863.00,98.96
2862.00,98.97
2861.00,98.98
2860.00,99.00
2859.00,99.01
2858.00,99.03
2857.00,99.06
2856.00,99.08
2855.00,99.10
2854.00,99.11
2853.00,99.13
2852.00,99.14
2851.00,99.15
2850.00,99.16
2849.00,99.18
2848.00,99.18
2847.00,99.20
2846.00,99.21
2845.00,99.22
2844.00,99.24
2843.00,99.26
2842.00,99.28
2841.00,99.29
2840.00,99.31
2839.00,99.33
2838.00,99.34
2837.00,99.36
2836.00,99.37
2835.00,99.38
2834.00,99.39
2833.00,99.40
2832.00,99.42
2831.00,99.44
2830.00,99.45
2829.00,99.46
2828.00,99.47
2827.00,99.49
2826.00,99.50
2825.00,99.51
2824.00,99.52
2823.00,99.54
2822.00,99.55
2821.00,99.56
2820.00,99.58
2819.00,99.59
2818.00,99.60
2817.00,99.61
2816.00,99.62
2815.00,99.64
2814.00,99.65
2813.00,99.67
2812.00,99.68
2811.00,99.69
2810.00,99.71
2809.00,99.73
2808.00,99.75
2807.00,99.75
2806.00,99.76
2805.00,99.77
2804.00,99.78
2803.00,99.78
2802.00,99.79
2801.00,99.80
2800.00,99.81
2799.00,99.83
2798.00,99.84
2797.00,99.85
2796.00,99.86
2795.00,99.86
2794.00,99.87
2793.00,99.88
2792.00,99.88
2791.00,99.89
2790.00,99.89
2789.00,99.90
2788.00,99.92
2787.00,99.95
2786.00,99.97
2785.00,99.98
2784.00,99.98
2783.00,99.98
2782.00,99.98
2781.00,99.98
2780.00,99.99
2779.00,100.00
2778.00,100.00
2777.00,100.01
2776.00,100.01
2775.00,100.02
2774.00,100.03
2773.00,100.03
2772.00,100.02
2771.00,100.02
2770.00,100.03
2769.00,100.04
2768.00,100.06
2767.00,100.08
2766.00,100.09
2765.00,100.09
2764.00,100.10
2763.00,100.10
2762.00,100.11
2761.00,100.13
2760.00,100.14
2759.00,100.15
2758.00,100.15
2757.00,100.15
2756.00,100.14
2755.00,100.14
2754.00,100.16
2753.00,100.18
2752.00,100.20
2751.00,100.20
2750.00,100.21
2749.00,100.21
2748.00,100.22
2747.00,100.22
2746.00,100.22
2745.00,100.22
2744.00,100.23
2743.00,100.24
2742.00,100.24
2741.00,100.23
2740.00,100.23
2739.00,100.23
2738.00,100.23
2737.00,100.24
2736.00,100.24
2735.00,100.24
2734.00,100.24
2733.00,100.25
2732.00,100.27
2731.00,100.28
2730.00,100.30
2729.00,100.32
2728.00,100.32
2727.00,100.33
2726.00,100.33
2725.00,100.34
2724.00,100.35
2723.00,100.36
2722.00,100.37
2721.00,100.38
2720.00,100.37
2719.00,100.36
2718.00,100.35
2717.00,100.33
2716.00,100.32
2715.00,100.33
2714.00,100.34
2713.00,100.34
2712.00,100.34
2711.00,100.34
2710.00,100.34
2709.00,100.35
2708.00,100.37
2707.00,100.39
2706.00,100.41
2705.00,100.42
2704.00,100.42
2703.00,100.42
2702.00,100.41
2701.00,100.41
2700.00,100.40
2699.00,100.40
2698.00,100.40
2697.00,100.40
2696.00,100.41
2695.00,100.42
2694.00,100.43
2693.00,100.44
2692.00,100.45
2691.00,100.45
2690.00,100.46
2689.00,100.46
2688.00,100.45
2687.00,100.44
2686.00,100.43
2685.00,100.42
2684.00,100.42
2683.00,100.43
2682.00,100.44
2681.00,100.45
2680.00,100.45
2679.00,100.46
2678.00,100.46
2677.00,100.46
2676.00,100.46
2675.00,100.45
2674.00,100.46
2673.00,100.46
2672.00,100.47
2671.00,100.48
2670.00,100.48
2669.00,100.47
2668.00,100.47
2667.00,100.48
2666.00,100.48
2665.00,100.49
2664.00,100.49
2663.00,100.50
2662.00,100.50
2661.00,100.49
2660.00,100.48
2659.00,100.48
2658.00,100.49
2657.00,100.50
2656.00,100.50
2655.00,100.50
2654.00,100.49
2653.00,100.48
2652.00,100.48
2651.00,100.48
2650.00,100.48
2649.00,100.49
2648.00,100.48
2647.00,100.48
2646.00,100.47
2645.00,100.47
2644.00,100.47
2643.00,100.48
2642.00,100.49
2641.00,100.49
2640.00,100.50
2639.00,100.52
2638.00,100.53
2637.00,100.54
2636.00,100.54
2635.00,100.54
2634.00,100.53
2633.00,100.52
2632.00,100.52
2631.00,100.52
2630.00,100.51
2629.00,100.51
2628.00,100.50
2627.00,100.50
2626.00,100.51
2625.00,100.50
2624.00,100.50
2623.00,100.49
2622.00,100.49
2621.00,100.49
2620.00,100.49
2619.00,100.48
2618.00,100.47
2617.00,100.46
2616.00,100.46
2615.00,100.46
2614.00,100.46
2613.00,100.45
2612.00,100.46
2611.00,100.46
2610.00,100.46
2609.00,100.46
2608.00,100.45
2607.00,100.44
2606.00,100.44
2605.00,100.44
2604.00,100.43
2603.00,100.43
2602.00,100.43
2601.00,100.44
2600.00,100.44
2599.00,100.45
2598.00,100.47
2597.00,100.49
2596.00,100.50
2595.00,100.49
2594.00,100.47
2593.00,100.45
2592.00,100.43
2591.00,100.42
2590.00,100.42
2589.00,100.44
2588.00,100.46
2587.00,100.47
2586.00,100.45
2585.00,100.42
2584.00,100.39
2583.00,100.37
2582.00,100.37
2581.00,100.38
2580.00,100.39
2579.00,100.40
2578.00,100.41
2577.00,100.42
2576.00,100.42
2575.00,100.42
2574.00,100.42
2573.00,100.43
2572.00,100.42
2571.00,100.42
2570.00,100.41
2569.00,100.41
2568.00,100.41
2567.00,100.42
2566.00,100.43
2565.00,100.43
2564.00,100.42
2563.00,100.41
2562.00,100.41
2561.00,100.42
2560.00,100.42
2559.00,100.43
2558.00,100.45
2557.00,100.46
2556.00,100.47
2555.00,100.46
2554.00,100.46
2553.00,100.45
2552.00,100.45
2551.00,100.45
2550.00,100.45
2549.00,100.43
2548.00,100.42
2547.00,100.41
2546.00,100.41
2545.00,100.41
2544.00,100.40
2543.00,100.39
2542.00,100.38
2541.00,100.37
2540.00,100.37
2539.00,100.36
2538.00,100.35
2537.00,100.34
2536.00,100.33
2535.00,100.33
2534.00,100.33
2533.00,100.33
2532.00,100.32
2531.00,100.32
2530.00,100.31
2529.00,100.31
2528.00,100.30
